-388.554	5000
6820.26	94000
2770.16	38000
-518.38	7000
-2730.1	37000
1110.81	15000
-3309.56	45000
7976.78	110000
1777.3	24000
438.837	6000
-1721.76	23000
-2358.75	32000
-2740.01	38000
642.783	8000
2166.09	30000
-20209.4	280000
-14583.6	202000
-7796.77	108000
-2454.74	34000
1887.02	26000
9250.61	128000
15062.2	209000
7775.7	107000
-4375.37	60000
15654.9	217000
9224.72	128000
3221.36	44000
-7702.51	106000
-8263.22	114000
11777.4	163000
-5192.91	72000
-5813.26	80000
-2303.89	31000
16631.4	230000
12067.7	167000
4690.1	65000
-4370.09	60000
-29196.4	405000
30646.2	425000
-6637.41	92000
-1444.53	20000
301.7	4000
11336.8	157000
14187.6	197000
4370.09	60000
