656.28	655.43
656.28	671.2
656.28	662.34
486.13	485.29
434.05	430.1
486.13	487.93
656.28	649.04
656.28	673.73
486.13	489.01
656.28	657.24
486.13	483.34
656.28	651.12
486.13	481.69
434.05	434.98
486.13	489.64
656.28	612.07
434.05	412.95
410.17	399.51
656.28	650.91
410.17	412.75
486.13	501.12
656.28	689.23
486.13	498.73
486.13	479.04
434.05	456.7
656.28	676.46
486.13	491.35
656.28	639.43
486.13	472.74
434.05	451.09
656.28	644.92
486.13	476.71
656.28	651.24
486.13	513.08
434.05	451.51
486.13	493.73
656.28	646.72
656.28	592.41
434.05	478.39
656.28	641.76
434.05	431.96
656.28	656.94
410.17	425.67
486.13	509.12
656.28	665.84
486.13	501.07
